epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,54562,0.5948,0.30326,1.15575,0.9721,0.97358,0.99192,0.86954,0.58877,0.29128,1.09272,0.0091189,0.0091189,0.0091189
91,55127.6,0.58938,0.29624,1.15594,0.96775,0.97841,0.99181,0.87108,0.58137,0.29202,1.08851,0.009109,0.009109,0.009109
92,55700.9,0.58983,0.30808,1.15262,0.9734,0.97399,0.99199,0.86889,0.58805,0.29399,1.09207,0.0090991,0.0090991,0.0090991
93,56265.6,0.58772,0.30598,1.14513,0.97238,0.98004,0.99199,0.87028,0.58494,0.29286,1.0911,0.0090892,0.0090892,0.0090892
94,56836.1,0.58365,0.30367,1.14565,0.97174,0.97472,0.99135,0.87017,0.57952,0.29187,1.08804,0.0090793,0.0090793,0.0090793
95,57399.3,0.58598,0.2982,1.14997,0.96971,0.97969,0.99195,0.87329,0.57567,0.28944,1.08566,0.0090694,0.0090694,0.0090694
96,57963.3,0.59585,0.30507,1.15131,0.96969,0.979,0.99169,0.87402,0.57781,0.29079,1.08509,0.0090595,0.0090595,0.0090595
97,58544.4,0.59007,0.30275,1.15147,0.9713,0.97738,0.99185,0.87248,0.57813,0.29048,1.08458,0.0090496,0.0090496,0.0090496
98,59122.2,0.59173,0.30251,1.1531,0.97544,0.97768,0.9923,0.87492,0.57841,0.2873,1.08541,0.0090397,0.0090397,0.0090397
99,59706.6,0.59043,0.29638,1.14887,0.97669,0.97405,0.99207,0.87478,0.57673,0.28631,1.08431,0.0090298,0.0090298,0.0090298
100,60267.4,0.58737,0.29837,1.14563,0.97906,0.97405,0.99223,0.87172,0.58187,0.28623,1.08794,0.0090199,0.0090199,0.0090199
101,60825.6,0.58717,0.29884,1.1496,0.97674,0.97784,0.99216,0.87134,0.58079,0.28511,1.09016,0.00901,0.00901,0.00901
102,61384.4,0.5975,0.30273,1.14982,0.97377,0.97538,0.99208,0.87079,0.5792,0.2852,1.08656,0.0090001,0.0090001,0.0090001
103,61934.1,0.59108,0.2997,1.1518,0.9763,0.97073,0.99202,0.87135,0.57835,0.28464,1.08644,0.0089902,0.0089902,0.0089902
104,62495.4,0.5898,0.30377,1.14827,0.97732,0.97471,0.99216,0.87007,0.5791,0.28387,1.08769,0.0089803,0.0089803,0.0089803
105,63055.3,0.58014,0.29889,1.14485,0.97174,0.97605,0.99211,0.87268,0.58094,0.28365,1.08959,0.0089704,0.0089704,0.0089704
106,63601.5,0.58591,0.30061,1.14906,0.97612,0.97472,0.99233,0.87257,0.57931,0.28394,1.08794,0.0089605,0.0089605,0.0089605
107,64150.6,0.58666,0.29925,1.14904,0.97728,0.97292,0.99229,0.87414,0.57899,0.28235,1.08692,0.0089506,0.0089506,0.0089506
108,64694,0.5877,0.30107,1.14683,0.97476,0.97405,0.99229,0.87492,0.57502,0.27968,1.08683,0.0089407,0.0089407,0.0089407
109,65228.9,0.58483,0.29929,1.14858,0.97845,0.97139,0.99233,0.87653,0.57365,0.27962,1.08612,0.0089308,0.0089308,0.0089308
110,65788.2,0.59022,0.29458,1.15349,0.96956,0.98004,0.99204,0.87792,0.57511,0.28005,1.08873,0.0089209,0.0089209,0.0089209
111,66377,0.57386,0.29733,1.13583,0.9672,0.98108,0.99198,0.87587,0.57608,0.28045,1.08958,0.008911,0.008911,0.008911
112,66973.5,0.57892,0.29611,1.13574,0.97248,0.9827,0.99213,0.87756,0.57428,0.27938,1.08675,0.0089011,0.0089011,0.0089011
113,67565.5,0.57911,0.29275,1.14093,0.97238,0.98362,0.99207,0.87784,0.57603,0.27917,1.08831,0.0088912,0.0088912,0.0088912
114,68153,0.57635,0.29123,1.14022,0.97108,0.9831,0.99229,0.87876,0.57611,0.28023,1.08704,0.0088813,0.0088813,0.0088813
115,68728.1,0.59024,0.29966,1.14696,0.97368,0.98442,0.99243,0.87793,0.57519,0.28115,1.08505,0.0088714,0.0088714,0.0088714
116,69321.7,0.58105,0.29485,1.14248,0.97151,0.98337,0.99265,0.87705,0.57562,0.27999,1.08551,0.0088615,0.0088615,0.0088615
117,69908.3,0.58342,0.29331,1.14169,0.9711,0.98353,0.99284,0.87831,0.57637,0.27814,1.08545,0.0088516,0.0088516,0.0088516
118,70507.4,0.57531,0.29396,1.13917,0.97344,0.9827,0.99273,0.87803,0.57794,0.2766,1.08699,0.0088417,0.0088417,0.0088417
119,71128.8,0.58509,0.29386,1.15001,0.97459,0.98137,0.99283,0.87742,0.57661,0.27761,1.08467,0.0088318,0.0088318,0.0088318
120,71752.2,0.57478,0.29326,1.13458,0.97326,0.9827,0.99271,0.87876,0.57708,0.2762,1.08517,0.0088219,0.0088219,0.0088219
121,72373,0.57353,0.28751,1.13874,0.97751,0.97937,0.99275,0.87921,0.5757,0.27524,1.08438,0.008812,0.008812,0.008812
122,73006.2,0.5753,0.29065,1.13891,0.97421,0.98004,0.99259,0.87859,0.57679,0.27466,1.08436,0.0088021,0.0088021,0.0088021
